"ID","gender","age_floor","center_age","age_exact","race","know","lang","item","response","task","age_group","age"
"100C","male",6,-0.554843507520264,6.97744360902256,"White","Knowledgeable","Generic","q_flex1",0,"flexibility","child",NA
"100C","male",6,-0.554843507520264,6.97744360902256,"White","Knowledgeable","Generic","q_flex2",1,"flexibility","child",NA
"100C","male",6,-0.554843507520264,6.97744360902256,"White","Knowledgeable","Generic","q_flex3",1,"flexibility","child",NA
"100C","male",6,-0.554843507520264,6.97744360902256,"White","Knowledgeable","Generic","q_cat1",0,"category","child",NA
"100C","male",6,-0.554843507520264,6.97744360902256,"White","Knowledgeable","Generic","q_cat2",1,"category","child",NA
"100C","male",6,-0.554843507520264,6.97744360902256,"White","Knowledgeable","Generic","q_cat3",1,"category","child",NA
"100C","male",6,-0.554843507520264,6.97744360902256,"White","Knowledgeable","Generic","q_homo1",5,"homogeneity","child",NA
"100C","male",6,-0.554843507520264,6.97744360902256,"White","Knowledgeable","Generic","q_homo2",5,"homogeneity","child",NA
"101C","male",6,-1.27402783196775,6.25825928457507,"White","Unknowledgeable","Generic","q_flex1",NA,"flexibility","child",NA
"101C","male",6,-1.27402783196775,6.25825928457507,"White","Unknowledgeable","Generic","q_flex2",1,"flexibility","child",NA
"101C","male",6,-1.27402783196775,6.25825928457507,"White","Unknowledgeable","Generic","q_flex3",1,"flexibility","child",NA
"101C","male",6,-1.27402783196775,6.25825928457507,"White","Unknowledgeable","Generic","q_cat1",0,"category","child",NA
"101C","male",6,-1.27402783196775,6.25825928457507,"White","Unknowledgeable","Generic","q_cat2",0,"category","child",NA
"101C","male",6,-1.27402783196775,6.25825928457507,"White","Unknowledgeable","Generic","q_cat3",1,"category","child",NA
"101C","male",6,-1.27402783196775,6.25825928457507,"White","Unknowledgeable","Generic","q_homo1",3,"homogeneity","child",NA
"101C","male",6,-1.27402783196775,6.25825928457507,"White","Unknowledgeable","Generic","q_homo2",3,"homogeneity","child",NA
"102C","male",6,-1.27402783196775,6.25825928457507,"White","Knowledgeable","Specific","q_flex1",NA,"flexibility","child",NA
"102C","male",6,-1.27402783196775,6.25825928457507,"White","Knowledgeable","Specific","q_flex2",1,"flexibility","child",NA
"102C","male",6,-1.27402783196775,6.25825928457507,"White","Knowledgeable","Specific","q_flex3",1,"flexibility","child",NA
"102C","male",6,-1.27402783196775,6.25825928457507,"White","Knowledgeable","Specific","q_cat1",0,"category","child",NA
"102C","male",6,-1.27402783196775,6.25825928457507,"White","Knowledgeable","Specific","q_cat2",1,"category","child",NA
"102C","male",6,-1.27402783196775,6.25825928457507,"White","Knowledgeable","Specific","q_cat3",1,"category","child",NA
"102C","male",6,-1.27402783196775,6.25825928457507,"White","Knowledgeable","Specific","q_homo1",3,"homogeneity","child",NA
"102C","male",6,-1.27402783196775,6.25825928457507,"White","Knowledgeable","Specific","q_homo2",4,"homogeneity","child",NA
"103C","male",9,2.23394664969095,9.76623376623377,"White","Unknowledgeable","Generic","q_flex1",0,"flexibility","child",NA
"103C","male",9,2.23394664969095,9.76623376623377,"White","Unknowledgeable","Generic","q_flex2",0,"flexibility","child",NA
"103C","male",9,2.23394664969095,9.76623376623377,"White","Unknowledgeable","Generic","q_flex3",0,"flexibility","child",NA
"103C","male",9,2.23394664969095,9.76623376623377,"White","Unknowledgeable","Generic","q_cat1",0,"category","child",NA
"103C","male",9,2.23394664969095,9.76623376623377,"White","Unknowledgeable","Generic","q_cat2",0,"category","child",NA
"103C","male",9,2.23394664969095,9.76623376623377,"White","Unknowledgeable","Generic","q_cat3",0,"category","child",NA
"103C","male",9,2.23394664969095,9.76623376623377,"White","Unknowledgeable","Generic","q_homo1",5,"homogeneity","child",NA
"103C","male",9,2.23394664969095,9.76623376623377,"White","Unknowledgeable","Generic","q_homo2",5,"homogeneity","child",NA
"104C","male",7,-0.314355924927418,7.2179311916154,"White","Knowledgeable","Specific","q_flex1",0,"flexibility","child",NA
"104C","male",7,-0.314355924927418,7.2179311916154,"White","Knowledgeable","Specific","q_flex2",1,"flexibility","child",NA
"104C","male",7,-0.314355924927418,7.2179311916154,"White","Knowledgeable","Specific","q_flex3",1,"flexibility","child",NA
"104C","male",7,-0.314355924927418,7.2179311916154,"White","Knowledgeable","Specific","q_cat1",0,"category","child",NA
"104C","male",7,-0.314355924927418,7.2179311916154,"White","Knowledgeable","Specific","q_cat2",1,"category","child",NA
"104C","male",7,-0.314355924927418,7.2179311916154,"White","Knowledgeable","Specific","q_cat3",1,"category","child",NA
"104C","male",7,-0.314355924927418,7.2179311916154,"White","Knowledgeable","Specific","q_homo1",5,"homogeneity","child",NA
"104C","male",7,-0.314355924927418,7.2179311916154,"White","Knowledgeable","Specific","q_homo2",4,"homogeneity","child",NA
"105C","female",5,-1.92463161415048,5.60765550239234,"White","Unknowledgeable","Specific","q_flex1",0,"flexibility","child",NA
"105C","female",5,-1.92463161415048,5.60765550239234,"White","Unknowledgeable","Specific","q_flex2",0,"flexibility","child",NA
"105C","female",5,-1.92463161415048,5.60765550239234,"White","Unknowledgeable","Specific","q_flex3",0,"flexibility","child",NA
"105C","female",5,-1.92463161415048,5.60765550239234,"White","Unknowledgeable","Specific","q_cat1",1,"category","child",NA
"105C","female",5,-1.92463161415048,5.60765550239234,"White","Unknowledgeable","Specific","q_cat2",1,"category","child",NA
"105C","female",5,-1.92463161415048,5.60765550239234,"White","Unknowledgeable","Specific","q_cat3",1,"category","child",NA
"105C","female",5,-1.92463161415048,5.60765550239234,"White","Unknowledgeable","Specific","q_homo1",5,"homogeneity","child",NA
"105C","female",5,-1.92463161415048,5.60765550239234,"White","Unknowledgeable","Specific","q_homo2",4,"homogeneity","child",NA
"106C","male",8,1.44652354647837,8.97881066302119,"Mixed","Unknowledgeable","Specific","q_flex1",0,"flexibility","child",NA
